Job Id,workplace,working_mode,salary,position,job_role_and_duties,requisite_skill,offer_details
1017340707950150,panama city panama,contract,69500.0,procurement manager,promote supplier diversity initiatives and inclusion identify and onboard diverse suppliers monitor compliance with diversity goals and regulations supplier diversity managerpromote diversity and inclusion in the supply chain manage supplier diversity programs and assess supplier performance,supplier diversity programs diversity and inclusion initiatives supplier assessment and certification data collection and reporting vendor outreach and engagement strategic planning communication skills relationship building attention to diversity and inclusion principles 5 to 10 years bba,transportation benefits professional development bonuses and incentive programs profitsharing employee discounts
2421048253959975,tunis tunisia,part-time,84500.0,architectural designer,prepare detailed architectural drawings and plans using computeraided design cad software assist architects in project documentation and coordination ensure compliance with building codes and regulations architectural drafterarchitectural drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures they use computeraided design cad software to produce accurate and precise architectural drawings,architectural drafting autocad 2d and 3d modeling blueprint reading building codes collaboration with architects detailoriented 0 to 12 years mba,employee assistance programs eap tuition reimbursement profitsharing transportation benefits parental leave
1822636506606589,harare zimbabwe,full-time,69500.0,art teacher,coordinate art education programs curriculum development and student assessments collaborate with other educators and schools organize art exhibitions and showcases art education coordinatoran art education coordinator plans and manages art education programs curriculum development and educational outreach to promote art appreciation and learning within communities,art education curriculum program development teacher training communication skills artistic expertise 0 to 11 years mcom,employee referral programs financial counseling health and wellness facilities casual dress code flexible spending accounts fsas
3068000579894602,tirana albania,temporary,75500.0,environmental consultant,assess the environmental impact of projects and developments conduct environmental impact assessments eias and provide mitigation recommendations collaborate with project teams and regulators environmental impact analystenvironmental impact analysts assess the environmental consequences of projects or activities they conduct studies analyze data and provide recommendations to minimize adverse environmental effects and promote sustainable practices,environmental impact analysis data collection and analysis environmental regulations reporting gis geographic information systems technical writing 5 to 12 years bcom,transportation benefits professional development bonuses and incentive programs profitsharing employee discounts
1747904829392680,city of baghdad iraq,temporary,90000.0,art teacher,coordinate art education programs curriculum development and student assessments collaborate with other educators and schools organize art exhibitions and showcases art education coordinatoran art education coordinator plans and manages art education programs curriculum development and educational outreach to promote art appreciation and learning within communities,art education curriculum program development teacher training communication skills artistic expertise 4 to 13 years bca,employee referral programs financial counseling health and wellness facilities casual dress code flexible spending accounts fsas
1891291129748729,andorra la vella andorra,contract,72500.0,event planner,specialize in wedding planning assisting couples in creating their dream weddings select and manage vendors plan ceremonies and handle wedding day coordination provide creative and budgetconscious solutions wedding plannerwedding planners specialize in organizing weddings assisting couples with every aspect of wedding planning from venue selection to catering and decor,wedding planning venue selection catering and menu planning floral and decor design wedding etiquette 5 to 10 years mba,employee referral programs financial counseling health and wellness facilities casual dress code flexible spending accounts fsas
2252571142854596,asmara eritrea,contract,76500.0,architect,design architectural plans and layouts for buildings and structures create detailed drawings and blueprints ensure designs comply with building codes and regulations architectural designerarchitectural designers create architectural plans and designs for buildings and structures considering aesthetics functionality and safety standards,architectural design software eg autocad revit building codes and regulations 3d modeling visualization sustainable design 3 to 11 years mcom,health insurance retirement plans flexible work arrangements employee assistance programs eap bonuses and incentive programs
2438881208917048,port-au-prince haiti,contract,84500.0,family lawyer,facilitate mediation and alternative dispute resolution adr processes to help clients reach mutually agreeable resolutions maintain neutrality and guide parties toward compromise draft mediation agreements mediatormediators facilitate negotiations and dispute resolution between parties in conflict they remain neutral and help parties reach mutually acceptable agreements through effective communication and problemsolving techniques,mediation conflict resolution negotiation communication skills neutrality problemsolving legal knowledge mediation techniques 5 to 14 years ba,childcare assistance paid time off pto relocation assistance flexible work arrangements professional development
687428170224095,seoul north korea,temporary,91000.0,account manager,build and nurture strong client relationships understand client needs and objectives serve as the main point of contact for client communication client relationship managerbuild and maintain strong client relationships understand their needs and ensure client satisfaction,client relationship management customer service communication skills 5 to 12 years phd,employee referral programs financial counseling health and wellness facilities casual dress code flexible spending accounts fsas
1690092345385690,montevideo uruguay,part-time,85000.0,business development manager,develop and execute plans to expand market presence and reach new customers conduct market research and competitor analysis evaluate market trends and opportunities market expansion managera market expansion manager strategizes and executes plans to expand the companys presence in new markets identifying growth opportunities and optimizing market penetration,market expansion strategies market research sales planning and execution 4 to 8 years bba,casual dress code social and recreational activities employee referral programs health and wellness facilities life and disability insurance
